tutorialarea_shop_title,出售物品一览
dialog_rhythmgameGameOver_message,生命值已用尽。\n是否消耗{0}个星石回复所有生命值\n并继续游戏？
dialog_rhythmgameGameOver_continueButton,继续
dialog_rhythmgameGameOver_retireButton,退出
dialog_rhythmgameGameOverLackOfStar_message,由于星石不足，\n无法继续。
dialog_rhythmgameGameOverLackOfStar_title,星石不足
dialog_rhythmgameGameOverRetire_message,退出后将无法获得报酬。\n已消费的LIVE BOOST将不会退还，\n确定吗？
dialog_rhythmgameGameOverRetire_challengeLiveMessage,选择放弃后将无法获得演出报酬。\n已消费的挑战点数也不会恢复、\n确认吗？
dialog_rhythmgameGameOverRetire_title,退出
dialog_rhythmgamePause_body,中断演出返回主页吗？\n※已消费的LIVE BOOST将不会退还※
dialog_rhythmgamePause_challengeLiveBody,确定要中断演出返回首页吗？\n※已消费的挑战点数不会恢复※
dialog_rhythmgamePause_resume,继续
dialog_rhythmgamePause_retire,中断
dialog_rhythmgamePause_title,暂停
dialog_rhythmgamePause_garupaCupBody,{0}要中断演出\n返回至GARUPA杯的首页吗？[-]\n{1}※挑战次数不会恢复。[-]
dialog_scenario_skip,确定跳过这个故事吗？
dialog_scenario_skipTitle,跳过
dialog_skillPracticePrePractice_message1,已选择的休息室成员将会消失。\n确定进行技能练习吗？
dialog_skillPracticePrePractice_message2,选择了★3以上的成员。
dialog_situationTrainingPreTraining_message,消费已选择的练习券进行练习。\n确定吗？
dialog_situationTrainingPreTraining_message2,※选择了与角色不一致的技能练习券。
dialog_situationTrainingPreTraining_title,确认
dialog_storyConfirm_message,下载语音数据、\n阅读故事吗？
dialog_storyConfirm_title,故事播放
dialog_storyReward_title,故事达成奖励
dialog_soloLiveLackOfMember_message,开始演出需要5名成员。\n请先编成乐队。
dialog_soloLiveLackOfMember_title,成员不足
dialog_sort_captionAttribute,设定属性
dialog_sort_captionBand,设定乐队
dialog_sort_sortingOrder,种类顺序
dialog_specialTraining_title,确认
dialog_specialTrainingParamUp_title,特训结果
dialog_specialTraining_message,消费道具\n对[{0}]{1}进行特训。\n确定吗？
dialog_starShop_actOnSettlement,根据资金决策法记载
dialog_starShop_notPermitPurchase,无法进行购买。请确认设备的设定。
dialog_starShop_buyableCount,剩余{0}次
dialog_starShop_buyableCountOneTime,仅限1次
dialog_starShop_buyablePeriod,{0}为止
dialog_starShop_buyPremiumPass,购买
dialog_starShop_buyStarFormat,¥{0}
dialog_starShop_currencyGuidelines,应用内货币\n指导路线
dialog_starShop_detailButton,详细
dialog_starShop_salesPeriod,贩卖期间
dialog_starShop_limitedButton,限定
dialog_starShop_liveBoost,演出\n加成
dialog_starShop_liveBoostDescription3,回复3点LIVE BOOST
dialog_starShop_liveBoostDescription10,回复10点LIVE BOOST
dialog_starShop_premiumPassButton,特惠\n欢乐月卡包
dialog_starShop_premiumPassGiveTiming,1日1次的礼物
dialog_starShop_premiumPassPeriod,购入后{0}天内最多可领取{1}次月卡礼物
dialog_starShop_premiumPassRestCount,[FF395A]还剩余{0}次[-]
dialog_starShop_purchased,[FF395A]已购买[-]\n[606060]有效期限　{0}为止[-]
dialog_starShop_purchasedLabel,已购买
dialog_starShop_recoverLiveBoost,回复
dialog_starShop_specifiedCommercialTransactionsLaw,根据特约商户交易法\n为基准记载
dialog_starShop_starCampaignBalloon,活动进行中!
dialog_starShop_title,星石商店
dialog_takeOver_clipboard,引继ID\n{0}\n密码\n{1}
dialog_takeOver_descriptionReset,已完成引继设定。\n\n如果再次设定之前的引继设定就会无效，\n确认吗？
dialog_takeOver_descriptionSettingFinish,[FE2349]引继ID・密码在安全设置上，\n如果关闭该页面就不会再次显示。[-]\n[505050FF]请一定要截屏保存哦。[-]
dialog_takeOver_descriptionSetting,在数据引继中，\n同时需要引继码ID・密码。\n请设置密码。
dialog_takeOver_descriptionTakeoverId,（设定密码后，会自动发行）
dialog_takeOver_descriptionSettingWarning,[505050FF]※输入的密码仅限一次有效\n[FE2349]※在不同的OS中进行引继的情况下，\n所持有的付费星石会消失。请注意。[-]
dialog_takeOver_descriptionSettingCopy,复制ID・密码
dialog_takeOver_errorInvalidPassword,其中含有屏蔽字符す。\n密码请输入半角字符。
dialog_takeOver_errorPasswordLimit,密码请输入半角英文数字8〜16字符。
dialog_takeOver_passwordLimit,※半角英文数字8〜16字符※
dialog_takeOver_reset,重新设定
dialog_takeOver_titleSetting,引继设定
dialog_takeOver_titleSettingFinish,引继设定已完成
dialog_totalParam_title,综合能力详情
dialog_totalParam_bandParameter,乐队参数
dialog_totalParam_bonusAreaItem,区域道具奖励
dialog_trainingError_message,练习失败了。
dialog_unlockArea_contentsText,「{0}」已在地图中解锁！
dialog_unlockArea_title,区域解锁
dialog_unlockAreaItem_contentsText,「{0}」的{1}中\n进了新货「{2}」！
dialog_unlockAreaItem_title,区域道具解锁
dialog_unlockBandStory_contentsText,{0}的乐队故事\n「{1}」解锁了！
dialog_unlockBandStory_title,解锁乐队故事
dialog_unlockEventStory_contentsText,活动故事\n「{0}」解锁了！
dialog_unlockEventStory_title,解锁活动故事
dialog_unlockMainStory_contentsText,主线故事\n「{0}」解锁了！
dialog_unlockMainStory_title,解锁主线故事
dialog_unlockPrivateRoom_title,私人房间开放
dialog_unlockPrivateRoom_description,[505050]开放房间以招募成员。\n确认吗？[-]
dialog_unlockPrivateRoom_descriptionWarning,[505050]开放房间以招募成员。\n确认吗？[-]\n\n[FE2349]※有正在等待进入的玩家。[-]
dialog_unlockPrivateRoom_cantUse,房间开放功能只能在有2名成员以上时\n才可以使用。
dialog_userRankReward_title,等级详情
dialog_userRankReward_descriptionTitle,等级报酬一览
dialog_userRankReward_friendLimitDescription,好友数上限　{0} → {1}
dialog_userRankReward_mainStoryDescription,主线剧情{0}\n{1}
dialog_waitingRoomExchangeConfirm_body,使用休息室成员 {0}人兑换\n米歇尔贴纸 {1}枚。\n确定吗？
dialog_waitingRoomExchangeDone_title,已完成交换
dialog_waitingRoomExchangeDone_body,已将所选成员\n交换为米歇尔贴纸。
dialog_webViewPickUpMember_title,活动报酬成员
dialog_weekdayRoomInvalidError_message,日期改变了。\n移动到选择演出。
dialog_versusLBWarning_title,LIVE BOOST消费确认
dialog_versusLBWarning_description,[505050]请注意，竞演演出[-][FE2B4B]在匹配成功的\n时候就会消费相应的LIVE BOOST。[-][505050]\n确认开始匹配吗？[-]
dialog_versusLBWarning_addDescription,[505050]\n\n※会优先匹配综合力相近的玩家[-]
dialog_versusLBWarning_notDisplay,本次活动中不再显示
dialog_versusPrivateRoom_eventRoom,活动乐曲房间
dialog_versusPrivateRoom_selectRoom,自由选曲房间
dialog_whatIsHighScoreRating_title,最高分数等级是？
dialog_whatIsHighScoreRating_content1,最高分数等级是在自由演出模式下，\n由歌曲最高分数计算得出的数值。
dialog_whatIsHighScoreRating_content3,最高分数等级受成员的综合能力以及\n区域道具效果的影响。\n向着更高的分数等级努力吧。
event_menu_auto,自动
event_menu_log,记录
event_menu_menu,菜单
event_menu_skip,快进
event_menu_skipAll,跳过
exchangeList_description_body,请选择一个交换所
exchangeList_cell_expire,[505050]交换截止时间：[-]  [FF3B71]{0}[-]
friendList_cell_approvalButtonLabel,确认
friendList_cell_lastLoginAtLessOneHour,1小时以内
friendList_cell_lastLoginAtLessSixHour,6小时以内
friendList_cell_lastLoginAtLessThreeHour,3小时以内
friendList_cell_lastLoginAtLessTwelveHour,12小时以内
friendList_cell_lastLoginAtLessTwentyFourHour,24小时以内
friendList_cell_lastLoginAtMoreThanOneMonthAgo,1个月以上
friendList_cell_lastLoginAtOneDayOrMoreSuffix,{0}日前
friendList_cell_rejectionButtonLabel,拒绝
friendList_contents_emptyMessageApplication,没有正在申请的好友玩家。
friendList_contents_emptyMessageApproval,没有等待验证的好友玩家。
friendList_contents_emptyMessageFriend,无好友。
friendList_contents_numberOfPeopleSeparator,/
friendList_sortingType_rank,等级
friendList_sortingOrder_asc,正序
friendList_sortingOrder_desc,倒序
friendList_tab_friendList,好友列表
friendList_tab_applyList,申请中
friendList_tab_approvalList,待确认
gacha_result_spinButton,再次招募
gacha_result_omakeTitle,购买套餐
gacha_result_omakeContent,套装已赠送。
gacha_top_step,STEP\n{0}/{1}！
gacha_top_timesOnly,{0}回限定
gacha_top_omakeSet,以套装形式入手！
gacha_top_oneTimeOnlyDaily,1日1回\n限定！
gacha_top_restCount,剩余{0}回
gacha_top_spinExecuted,招募完成
gacha_top_spinPaid,使用付费星石!
gacha_top_spinButton,招募{0}次!
gacha_top_spinButtonPaid,付费星石\n招募{0}次!
gacha_top_spinButtonLock_once_a_day,今天的限定招募\n已用完。\n会在4点\n重置。
gacha_unexpectedError_message,发生了未知错误。\n返回标题。
garupaCup_deckSelect_areaItemBonusCaution,※区域道具加成无效
garupaCup_deckSelect_bandDescription,指定乐队的限定PLAY
garupaCup_deckSelect_caution,成员的各数值为GARUPA杯专用。\nGARUPA杯演出中不会发动技能。\n完成演出后也不会得到经验值与报酬。
garupaCup_result_secondQualificationDescription,请各位参加东京国际展示场会场本预选的1次预选晋级玩家\n在工作人员集算结束前、都保持在此页面等待。
garupaCup_situationDetail_description,成员的各数值为GARUPA杯专用。\nGARUPA杯演出中不会发动技能。
garupaCup_secondQualification_openDate,会场本预选开展期间
garupaCup_tutorialSlide_title,GARUPA杯　来参加1次预选吧！
header_mainTitle_band,乐队
header_mainTitle_bandStory,乐队故事
header_mainTitle_challengeLive,挑战演出
header_mainTitle_event,活动
header_mainTitle_exchange,交换所
header_mainTitle_freeLive,自由演出
header_mainTitle_friendList,好友
header_mainTitle_gacha,招募
header_mainTitle_garupaCup,GARUPA杯
header_mainTitle_live,演出
header_mainTitle_mainStory,主线故事
header_mainTitle_multiLive,协力演出
header_mainTitle_notice,通知
header_mainTitle_other,其他
header_mainTitle_present,礼物
header_mainTitle_shop,商店
header_mainTitle_story,故事
header_mainTitle_versusLive,竞演演出
header_mainTitle_warehouse,区域道具
header_mainTitle_mission,任务
header_mainTitle_eventRewardBoxGacha,麻里奈小姐的礼物箱
header_starShopBalloon_beginnerCampaign,新手限定活动进行中♪
header_starShopBalloon_premiumHappyBox,特惠欢乐月卡♪
header_starShopBalloon_starIncrease,星石购入优惠活动中♪
header_subTitle_areaShop,商店
header_subTitle_areaWarehouse,仓库
header_subTitle_bandMenu,主页
header_subTitle_bandSelect,选择乐曲
header_subTitle_bandStorySelect,选择乐队故事
header_subTitle_challengeEventDeckSelect,最终确认
header_subTitle_costumeSelect,选择演出服
header_subTitle_deckEdit,乐队编成
header_subTitle_degreeSelect,选择称号
header_subTitle_eventBadgeExchange,徽章交换所
header_subTitle_exchangeList,选择交换所
header_subTitle_freeLiveDeckSelect,选择乐队
header_subTitle_freeLiveMusicSelect,选择乐曲
header_subTitle_friendList,一览
header_subTitle_gachaResult,招募结果
header_subTitle_gachaTop,主页
header_subTitle_inventory,持有物
header_subTitle_liveCostume,演出服装
header_subTitle_liveSelect,选择演出
header_subTitle_mainStorySelect,选择主线故事
header_subTitle_memberList,成员一览
header_subTitle_multiLiveDeckSelect,最终确认
header_subTitle_multiLiveLevelSelect,选择房间
header_subTitle_multiLiveMusicSelect,选择乐曲
header_subTitle_multiLiveMutching,匹配
header_subTitle_multiLiveShuffle,乐曲乱序
header_subTitle_musicShop,乐曲商店
header_subTitle_noticeDetail,通知内容
header_subTitle_noticeList,通知一览
header_subTitle_presentList,一览
header_subTitle_profile,个人资料
header_subTitle_profile_others,个人资料
header_subTitle_ranking,排行榜
header_subTitle_reward,报酬
header_subTitle_scoreRanking,分数排行
header_subTitle_scoreRankingReward,分数排行报酬
header_subTitle_situationDetail,成员详情
header_subTitle_skillPractice,技能练习
header_subTitle_skillPracticeList,选择技能练习的成员
header_subTitle_specialTraining,特训
header_subTitle_storySelect,选择剧情
header_subTitle_training,练习
header_subTitle_waitingRoom,休息室
header_subTitle_mission,任务一览
label_nickName_placeholder,昵称（10文字以内）
live_musicSelect_achievementButton,达成报酬
live_musicSelect_lockMusic,该乐曲还未解锁
live_musicSelect_selectDifficulty,难易度选择
live_musicSelect_musicHighScoreRating,乐曲最高分数排行榜
live_soloLiveLoading_dataDownLoading,载入中…
live_reward_liveBoost,所有的EXP
live_reward_liveBoostEffectText,报酬・EXP
liveTop_buttonName_eventTop,活动首页
loginBonus_message_costumeNameFormat,衣装「{0}」
loginBonus_message_getItem,获得了{0}！
loginBonus_period_dateFormat,活动时间　截止到MM/dd　HH:mm
map_presentList_deliveryDate,获得日期
map_presentList_expiredAt,领取期限
map_presentList_receivedDate,领取日期
map_presentList_giveButton,领取
map_presentList_bulkReceiptButton,一键领取
map_presentList_tabNotReceived,未领取
map_presentList_tabReceived,已领取
menuList_notice_button,通知
menuList_home_button,主页
menuList_myProfile_button,个人资料
menuList_album_button,相册
menuList_friendList_button,好友
menuList_exchange_button,交换所
menuList_inventory_button,持有物
menuList_option_button,选项
menuList_achievement_button,成就
menuList_starShop_button,星石\n商店
menuList_playerStar_button,所持星石\n确认
menuList_takeOverData_button,继承\n数据
menuList_help_button,FAQ
menuList_support_button,辅助
menuList_termsOfService_button,用户协议
menuList_termsOfPrivacy_button,隐私协议
menuList_title_button,返回\n标题
memorialStory_storyCell_eventPublishAt,{0}年{1}月{2}日〜
memorialStory_storySelect_message,请选择想要观看的回忆剧情故事
mission_complete_notice,任务达成！
mission_tab_normal,通常
mission_tab_event,期间限定
mission_bulk_receive,全部领取
mission_detail_button,详细
mission_receive_button,领取
mission_noMissionNormal_message,没有可挑战的通常任务。
mission_noMissionEvent_message,没有可挑战的限时任务。
mission_transitionButton_live,演出
mission_transitionButton_practice,练习
mission_transitionButton_story,剧情
mission_transitionButton_training,特训
mission_transitionButton_member,成员
mission_transitionButton_skillPractive,技能练习
mission_transitionButton_map,地图
mission_transitionButton_costume,衣装
mission_transitionButton_profile,个人资料
mission_transitionButton_friend,好友
multiPlay_abDownloadRetryableError_message,发生连接错误。\n请再次尝试连接。
multiPlay_deckSelect_message,选择好难易度后，记得点击「准备完毕！」哦！！
multiPlay_entrance_lockRoomMessage,提升主乐队的\n综合能力吧！
multiPlay_entrance_outOfTerm,目前并没有举办星期房间。\n请确认详细信息。
multiPlay_ingameError_message,连接中断。\n返回主页。
multiPlay_limitedTimeOverDialog_title,超过限定时间
multiPlay_limitedTimeOverDialog_contents,解散房间。
multiPlay_liveReward_waitingMessage,其他成员正在等待...
multiPlay_matching_decideButton,立刻开始
multiPlay_matching_liveDifficultyCaption,房间
multiPlay_matching_memberDecision,成员已经决定了！选择乐曲吧！
multiPlay_matching_nextDifficulty,已决定演出成员！　去选择难易度吧！
multiPlay_matching_rewardTypeCaption,房间属性
multiPlay_matching_waitingMessage,匹配中......请耐心等待！
multiPlay_messageSelectDifficulty_label,选择好难易度后，记得点击「准备完毕！」哦！
multiPlay_messageWaitingMember_label,其他成员正在选择难易度！ 请耐心等待哦！
multiPlay_musicSelect_randomSelect,已经随机选择乐曲了哦！
multiPlay_musicShuffle_musicDecision,乐曲选好了哦！　请选择难易度!
multiPlay_musicShuffle_waitingForMember,请耐心等待其他成员选择乐曲！
multiPlay_result_canNotApplyButtonLabel,不能申请
multiPlay_result_membersScore,成员的得分
multiPlay_result_membersScore2lines,成员的\n得分
multiPlay_result_waitingMember,正在等待演奏中的成员......
multiPlay_roomDisconnected_message,连接中断。\n返回选择房间页面。
multiPlay_roomEntryFailed_message,无法连接网络。\n请到信号良好的地方再次尝试连接。
multiPlay_roomEntryPhotonError_message,发生了连接异常。\n请到信号良好的地方再次尝试连接。
multiPlay_roomNetworkError_message,由于连接超时，\n将返回房间选择界面。\n请到信号良好的地方尝试再次连接。
multiPlay_roomNetworkError_messageToHome,连接中断。\n返回主页。
multiPlay_userCell_notSelectState,选择中...
multiPlay_userCell_selectedState,准备OK!
multiPlay_userCell_selectingMusic,选曲中...
multiPlay_userCell_selectedMusic,OK!
multiPlay_userCell_waitingEmptyState,募集中...
multiPlay_userCell_waitingState,待机中...
multiPlay_userDownloadProgress_done,准备完成♪
multiPlay_userDisconnected_message, 已切断连接。\n返回选择房间页面。
multiPlay_userDisconnected_messageWithName,由于{0}退出房间。\n将返回房间选择界面。
multiPlay_versusMatchingType_event,活动乐曲
multiPlay_versusMatchingType_select,大家一起选曲
multiPlay_waitingUser_message,其他成员正在准备中......
musicSelect_musicInfoTabCaption_difficulty,选择难易度
musicSelect_musicInfoTabCaption_howToGet,解锁条件
myProfile_contentCaption_clearMusicNum,已完成乐曲数
myProfile_contentCaption_fullComboMusicNum,全连击乐曲数
myProfile_contentCaption_comment,个性签名
myProfile_contentCaption_playerName,玩家名
myProfile_contentCaption_rank,等级
myProfile_closedCaption_message,情报未公开。
myProfile_closedCaption_word,非公开
myProfile_buttonCaption_changeDegree,称号变更
notice_insideGame_title,游戏的通知
notice_outsideGame_title,梦想协奏曲的通知
notice_maintenance_title,维护信息
presentList_logEmpty_message,过去一周内，没有领取过的礼物。
presentList_noData_message,没有可领取的礼物。
rhythmgame_skillTelop_playEncoreSkill,技能返场！
rhythmgame_skillTelop_playMultiSkill,[FDE333]{0}[-] 的\n技能发动！
rhythmgame_skillTelop_playMultiEncoreSkill,[FDE333]{0}[-] 的\n技能返场！
rhythmgame_skillTelop_playSkill,技能发动！
rhythmgame_titleBoard_arranger,编曲 : 
rhythmgame_titleBoard_lyricist,作词 : 
rhythmgame_titleBoard_composer,作曲 : 
stamp_rareStamp_notHaveStamp,没有稀有表情。
stamp_rareStamp_obtainingRoute,稀有表情可在活动等地方获得。
stamp_tabName_history,使用记录
stamp_tabName_rare,稀有表情
stamp_tabName_standard,基本表情
story_select_captionSynopsis,概要
story_select_howToGet,解锁条件
story_select_lock,该剧情尚未解锁
story_select_noStory,没有可阅读的剧情。
story_select_readButton,阅读
story_select_releaseConditionBand,・{0}\n乐队等级{0}时解锁
story_select_releaseConditionAllBand,・所有乐队的\n乐队等级在{0}以上时解锁
story_select_transitionMemorialStoryMessage,可以看到成员们的活跃情况与\n回忆小故事
story_select_transitionMemorialStory,前往回忆剧情故事
story_select_lockMessageLater,・一段时间后解锁
story_select_lockMessageAllBandRank,・所有的乐队等级在 {0}以上
story_select_lockMessageBandRank,・{0}乐队等级 {1}以上
story_select_lockMessageUserRank,・用户等级 {0}以上
story_top_mainStoryCaption,大家一起来炒热演出的气氛吧！
story_top_bandStoryCaption,每个乐队不同的原创剧情！
story_top_memorialStoryCaption,可以回顾观看回忆剧情故事！
storyEvent_complete_story,已解锁\n所有的剧情。
storyEvent_ranking_description,就算活动点数相同的情况下，排名也会个别分配。
storyEvent_ranking_tabMyRank,自己的排名
storyEvent_ranking_tabTopXXX,TOP10
storyEvent_ranking_noDataWithMyRank,未参加该活动。
storyEvent_ranking_noDataWithTopXXX,目前，排行榜正在统计中。
storyEvent_requireNextStory,下一章剧情
storyEvent_result_baseEventPoint,基本活动点数
storyEvent_result_gotEventPoint,获得活动点数
storyEvent_result_gotEventBadges,获得徽章
storyEvent_result_gotEventMedals,获得勋章
storyEvent_result_memberBonus,成员奖励
storyEvent_result_nextEventPoints,下一个活动点数（P）报酬
storyEvent_result_requireNextEventFormat,「{0}」
storyEvent_result_scoreBonus,得分奖励
storyEvent_result_usedLiveBoost,消费LIVE BOOST
storyEvent_reward_pickUpMemberButton,活动报酬成员
storyEvent_reward_rankingRewardDescription,排行榜报酬可在活动结束后的2周内通过登录领取。
storyEvent_reward_tabRankingReward,排行榜报酬
storyEvent_reward_tabTotalEventPointReward,累计活动点数报酬
storyEvent_reward_totalEventP,累计活动点数
storyEvent_eventLoginReward_dialogPopup,活动登录奖励
storyEvent_eventLoginReward_received,已领取！\n※明天的登陆奖励在次日4点后可以领取。
storyEvent_story_description,阅读活动剧情吧！
storyEvent_exchange_description,用道具进行交换!
storyEvent_exchange_limitBalloon,交换截止
bandstory_rewardList,乐队等级\n报酬一览
tutorial_slideTitle_a,来吧，开始吧！
tutorial_slideTitle_b,来记住演出中的操作吧！
tutorial_slideTitle_c,演出结束！ 辛苦了♪
tutorial_slideTitle_d,在区域中查看日常对话吧！
tutorial_slideTitle_e,完成新手引导！
tutorial_slideTitle_areaItemEnter,购买区域道具吧！
tutorial_slideTitle_areaItemPurchase,已设置区域道具！
tutorial_slideTitle_Costume,更换角色的服装吧！
tutorial_slideTitle_Exchange,在交换所中获得珍贵的物品吧！
tutorial_slideTitle_friend,去添加好友吧！
tutorial_slideTitle_multiPlay,挑战看看协力演出吧！
tutorial_slideTitle_musicShop,交换乐曲吧！
tutorial_slideTitle_training,特训成员吧！
tutorial_slideTitle_bandStory,阅读乐队剧情吧！
tutorial_slideTitle_practice,练习成员吧！
tutorial_slideTitle_situationDetail,查看小对话吧！
tutorial_slideTitle_skillPractice,让我们进行技能练习吧！
tutorial_slideWindow_liveButton,增加了新的乐曲哦！\n先从演出开始玩吧♪
tutorial_slideWindow_storyButton,主线剧情的后续！\n从剧情开始阅读吧♪
versusEvent_result_noBonusMember_Description,竞演演出是\n依据对演出的贡献排名得出的分数与\n依据个人的分数得出的分数加成\n相加后、得出最终的活动分数。
versusEvent_top_attention,竞演演出之外的场合不会获得活动点数
warehouse_checkEffect,效果确认
warehouse_checkEffectTitle,设置区域道具效果一览
warehouse_checkEffectTitleAfter,区域道具一键变更完成
warehouse_notHave,并没有可以在这个地方设置的\n区域道具。
warehouse_recommend,推荐一键变更
word_achievementFee,达成报酬
word_actOnSettlement,根据资金决策法记载
word_areaItemBonus,区域道具奖励
word_attribute_cool,COOL
word_attribute_happy,HAPPY
word_attribute_powerful,POWERFUL
word_attribute_pure,PURE
word_all,全部
word_band,乐队
word_bandEdit,乐队编成
word_bandParameter,乐队参数
word_bandrank,乐队等级
word_bandrankEXP,乐队等级EXP
word_betweenFrom,〜
word_birthDay,生日
word_buy,购买
word_canNotApplyFriendRequest,无法申请
word_change,更改
word_challengeOK,挑战可能
word_challengeNG,挑战结束
word_challengeLive,挑战演出
word_challengeLiveBonus,挑战演出加成
word_coin,金币
word_coinCount,金币 x {0}
word_confirm,确认
word_countNum,x {0}
word_countUnit,回
word_constellation,星座
word_contribution_points,贡献分数
word_copy,复制
word_copyId,复制ID
word_costume,服装
word_currencyGuidelines,应用内货币指导路线
word_cv,CV
word_day,日
word_dayNumber,第{0}天
word_dateFormat_MMDDHHmm,MM/dd HH:mm
word_dateFormat_MD,M月d日
word_dateFormat_yyyyMMDD,yyyy/MM/dd
word_dateFormat_yyyyMMDDHHmm,yyyy/MM/dd HH:mm
word_default,默认
word_defaultButton,返回\n默认值
word_degree,称号
ward_detail,详细
word_downloadingData,NOW LOADING
word_encoreButtonLabel,再进行一次演出
word_entry,报名
word_entryUserId,报名用玩家ID
word_equip_costume,衣装设定中
word_expire,{0} 为止
word_exOk,OK!
word_exp,EXP
word_eventHighScore,活动最高分
word_eventScore,活动分数
word_event_item_badge_count,个
word_favoriteFood,喜欢的食物
word_free,免费
word_friend,好友
word_alreadyInviteFriend,招待中
word_friendInvitation,邀请好友
word_friendInvitationRoom,受邀房间
word_friendRelease,好友解除
word_friendRequest,好友申请
word_fullVoice,全语音
word_getCP,获得挑战点数
word_getExp,获得EXP
word_hatefulFood,讨厌的食物
word_have,所持
word_haveCP,所持挑战点数
word_haveStar,所持星石
word_highScore,最高分
word_highScoreRating,最高分排行榜
word_hour,小时
word_hobby,兴趣
word_howToGet,解锁条件
word_idSearch,ID搜索
word_item,道具
word_itemCount,{0} x {1}
word_lastLoginAt,最后登录
word_lastLoginAtTime,最后登录时间
word_leader,队长
word_level,等级
word_levelAndNum,等级 {0}
word_levelUp,等级提升
word_life,生命值
word_liveBoost,LIVE BOOST
word_liveBoost_limitFormat,/{0}
word_liveBoost_recoveryTimeNone,-- : --
word_liveReward,演出报酬
word_liveSetting,演出设定
word_liveStart,演出开始！
word_lv,Lv.
word_mainBandTotalParam,主乐队综合能力
word_max,MAX
word_medalUnit,枚
word_memberExp,成员EXP
word_memberUnit,{0}人
word_michelleSeal,米歇尔贴纸
word_michelleUnit,{0}枚
word_minute,分
word_modeNormal,普通
word_modeEvent,活动
word_modeSpecial,特别
word_moreThan,以上
word_music,乐曲
word_musicTag_cover,翻唱
word_musicTag_original,原创
word_musicLevel,乐曲等级
word_nothing,无
word_notPublish,非公开
word_off,关
word_on,开
word_open,开放
word_other,其他
word_p,P
word_paid,付费
word_paidstar,付费星石
word_part,位置
word_percentage,%
word_place,会场
word_playDate,上线时间
word_player,玩家
word_playerId,玩家ID
word_possessionChallengeP,拥有的挑战点数
word_possessionMedalFormat,所持{0}
word_private,私人房间
word_privateUnlockFinish,房间已开放
word_putItem,设置
word_qualificationtTotalHighScore,预赛合计最高分
word_qualificationtHighScore,预赛最高分
word_qualificationtSecondScore,本预选分数
word_randomSelect,随机选择
word_rankExp,等级EXP
word_rankGrade,名
word_rankGradeFromAtoB,{0}〜{1}位
word_ranking,排行榜
word_readyOk,准备完毕！
word_recommend,推荐
word_recommendDeck,推荐编组
word_remain,剩余
word_require,必要
word_requireItem,必要道具
word_requestCancel,取消申请
word_reset,重置
word_rest,剩余
word_reward,报酬
word_rewardList,报酬一览
word_rewardItemName,获得道具名
word_rule,规则
word_unlock_room,开放房间
word_unlock_room_finish,房间已开放
word_school,学校
word_school_middle,中学
word_school_high,高中
word_schoolYear,学年
word_schoolYearSuffix,年级
word_secret,???
word_selfIntroduction,自我介绍
word_score,得分
word_scoreRank,得分等级
word_second,秒
word_select,选择
word_selected,选择中
word_skill,技能
word_setting,设定
word_shop,商店
word_skillLevel,技能Lv.
word_sort_createdAt,入手顺序
word_sort_level,等级
word_sort_paramSumDetail,综合能力详情
word_sort_paramSum,综合能力
word_sort_paramPerformance,演出
word_sort_paramTechnique,技巧
word_sort_paramVisual,形象
word_sort_rarity,稀有度
word_sort_skillLevel,技能等级
word_specifiedCommercialTransactionLaw,根据特约商户交易法为基准记载
word_spend,消费
word_spendNo,无消费
word_star,星石
word_starCount,星石 x {0}
word_starShop,星石商店
word_start,开始
word_stamp,表情
word_stampRare,稀有表情
word_targetMusic,对象乐曲
word_targetScore,目标得分
word_times,倍!
word_times_simple,倍
word_toNext,下一步
word_top,TOP
word_total,合计
word_totalScore,总分数
word_training,特训
word_until,为止
word_untilExchange,之前可以交换
word_updateHighscore,最高得分更新!
word_usedCard,设定中
word_waitEnterRoom,等待加入
